name,league,team_url
Arsenal,Premier League,https://fbref.com/en/squads/18bb7c10/
Aston Villa,Premier League,https://fbref.com/en/squads/8602292d/
Bournemouth,Premier League,https://fbref.com/en/squads/4ba7cbea/
Brentford,Premier League,https://fbref.com/en/squads/cd051869/
Brighton,Premier League,https://fbref.com/en/squads/d07537b9/
Chelsea,Premier League,https://fbref.com/en/squads/cff3d9bb/
Crystal Palace,Premier League,https://fbref.com/en/squads/47c64c55/
Everton,Premier League,https://fbref.com/en/squads/d3fd31cc/
Fulham,Premier League,https://fbref.com/en/squads/fd962109/
Ipswich Town,Premier League,https://fbref.com/en/squads/b74092de/
Leicester City,Premier League,https://fbref.com/en/squads/a2d435b3/
Liverpool,Premier League,https://fbref.com/en/squads/822bd0ba/
Manchester City,Premier League,https://fbref.com/en/squads/b8fd03ef/
Manchester United,Premier League,https://fbref.com/en/squads/19538871/
Newcastle,Premier League,https://fbref.com/en/squads/b2b47a98/
Nottingham Forest,Premier League,https://fbref.com/en/squads/e4a775cb/
Southampton,Premier League,https://fbref.com/en/squads/33c895d4/
Tottenham Hotspur,Premier League,https://fbref.com/en/squads/361ca564/
West Ham,Premier League,https://fbref.com/en/squads/7c21e445/
Wolves,Premier League,https://fbref.com/en/squads/8cec06e1/
Alaves,La Liga,https://fbref.com/en/squads/8d6fd021/
Athletic Club,La Liga,https://fbref.com/en/squads/2b390eca/
Atletico Madrid,La Liga,https://fbref.com/en/squads/db3b9613/
Barcelona,La Liga,https://fbref.com/en/squads/206d90db/
Betis,La Liga,https://fbref.com/en/squads/fc536746/
Celta Vigo,La Liga,https://fbref.com/en/squads/f25da7fb/
Espanyol,La Liga,https://fbref.com/en/squads/a8661628/
Getafe,La Liga,https://fbref.com/en/squads/7848bd64/
Girona,La Liga,https://fbref.com/en/squads/9024a00a/
Las Palmas,La Liga,https://fbref.com/en/squads/0049d422/
Leganes,La Liga,https://fbref.com/en/squads/7c6f2c78/
Mallorca,La Liga,https://fbref.com/en/squads/2aa12281/
Osasuna,La Liga,https://fbref.com/en/squads/03c57e2b/
Rayo Vallecano,La Liga,https://fbref.com/en/squads/98e8af82/
Real Madrid,La Liga,https://fbref.com/en/squads/53a2f082/
Real Sociedad,La Liga,https://fbref.com/en/squads/e31d1cd9/
Sevilla,La Liga,https://fbref.com/en/squads/ad2be733/
Valencia,La Liga,https://fbref.com/en/squads/dcc91a7b/
Valladolid,La Liga,https://fbref.com/en/squads/17859612/
Villarreal,La Liga,https://fbref.com/en/squads/2a8183b3/
Augsburg,Bundesliga,https://fbref.com/en/squads/0cdc4311/
Bayern Munich,Bundesliga,https://fbref.com/en/squads/054efa67/
Bochum,Bundesliga,https://fbref.com/en/squads/b42c6323/
Dortmund,Bundesliga,https://fbref.com/en/squads/add600ae/
Eintracht Frankfurt,Bundesliga,https://fbref.com/en/squads/f0ac8ee6/
Freiburg,Bundesliga,https://fbref.com/en/squads/a486e511/
Gladbach,Bundesliga,https://fbref.com/en/squads/32f3ee20/
Heidenheim,Bundesliga,https://fbref.com/en/squads/18d9d2a7/
Hoffenheim,Bundesliga,https://fbref.com/en/squads/033ea6b8/
Holstein Kiel,Bundesliga,https://fbref.com/en/squads/2ac661d9/
Leverkusen,Bundesliga,https://fbref.com/en/squads/c7a9f859/
Mainz,Bundesliga,https://fbref.com/en/squads/a224b06a/
RB Leipzig,Bundesliga,https://fbref.com/en/squads/acbb6a5b/
St Pauli,Bundesliga,https://fbref.com/en/squads/54864664/
Stuttgart,Bundesliga,https://fbref.com/en/squads/598bc722/
Union Berlin,Bundesliga,https://fbref.com/en/squads/7a41008f/
Werder Bremen,Bundesliga,https://fbref.com/en/squads/62add3bf/
Wolfsburg,Bundesliga,https://fbref.com/en/squads/4eaa11d7/
Atalanta,Serie A,https://fbref.com/en/squads/922493f3/
Bologna,Serie A,https://fbref.com/en/squads/1d8099f8/
Cagliari,Serie A,https://fbref.com/en/squads/c4260e09/
Como,Serie A,https://fbref.com/en/squads/28c9c3cd/
Empoli,Serie A,https://fbref.com/en/squads/a3d88bd8/
Fiorentina,Serie A,https://fbref.com/en/squads/421387cf/
Genoa,Serie A,https://fbref.com/en/squads/658bf2de/
Hellas Verona,Serie A,https://fbref.com/en/squads/0e72edf2/
Internazionale,Serie A,https://fbref.com/en/squads/d609edc0/
Juventus,Serie A,https://fbref.com/en/squads/e0652b02/
Lazio,Serie A,https://fbref.com/en/squads/7213da33/
Lecce,Serie A,https://fbref.com/en/squads/ffcbe334/
Milan,Serie A,https://fbref.com/en/squads/dc56fe14/
Monza,Serie A,https://fbref.com/en/squads/21680aa4/
Napoli,Serie A,https://fbref.com/en/squads/d48ad4ff/
Parma,Serie A,https://fbref.com/en/squads/eab4234c/
Roma,Serie A,https://fbref.com/en/squads/cf74a709/
Torino,Serie A,https://fbref.com/en/squads/105360fe/
Udinese,Serie A,https://fbref.com/en/squads/04eea015/
Venezia,Serie A,https://fbref.com/en/squads/af5d5982/
Angers,Ligue 1,https://fbref.com/en/squads/69236f98/
Auxerre,Ligue 1,https://fbref.com/en/squads/5ae09109/
Brest,Ligue 1,https://fbref.com/en/squads/fb08dbb3/
Le Havre,Ligue 1,https://fbref.com/en/squads/5c2737db/
Lens,Ligue 1,https://fbref.com/en/squads/fd4e0f7d/
Lille,Ligue 1,https://fbref.com/en/squads/cb188c0c/
Lyon,Ligue 1,https://fbref.com/en/squads/d53c0b06/
Marseille,Ligue 1,https://fbref.com/en/squads/5725cc7b/
Monaco,Ligue 1,https://fbref.com/en/squads/fd6114db/
Montpellier,Ligue 1,https://fbref.com/en/squads/281b0e73/
Nantes,Ligue 1,https://fbref.com/en/squads/d7a486cd/
Nice,Ligue 1,https://fbref.com/en/squads/132ebc33/
Paris S-G,Ligue 1,https://fbref.com/en/squads/e2d8892c/
Reims,Ligue 1,https://fbref.com/en/squads/7fdd64e0/
Rennes,Ligue 1,https://fbref.com/en/squads/b3072e00/
Saint Etienne,Ligue 1,https://fbref.com/en/squads/d298ef2c/
Strasbourg,Ligue 1,https://fbref.com/en/squads/c0d3eab4/
Toulouse,Ligue 1,https://fbref.com/en/squads/3f8c4b5f/
